name,age,games,started,min_played,FG,FGA,FGP,3ptr,3Ptr_Attempt,3ptr_Avg,2ptr,2ptr_Attempt,2ptr_Avg
Nikola Vučević,30,44,44,34.1,9.9,20.6,0.48,2.7,6.5,0.406,7.3,14.1,0.515
Evan Fournier,28,26,26,30.3,6.5,14.2,0.461,2.8,7.2,0.388,3.7,7,0.536
Aaron Gordon,25,25,25,29.4,5.1,11.7,0.437,1.7,4.5,0.375,3.4,7.2,0.475
Terrence Ross,29,46,2,29.3,5.5,13.4,0.412,1.9,5.7,0.337,3.6,7.7,0.469
Ignas Brazdeikis,22,8,0,29.3,4.4,9.9,0.443,1.4,3.4,0.407,3,6.5,0.462
Cole Anthony,20,47,34,27.1,4.7,11.7,0.397,1.2,3.7,0.337,3.4,8.1,0.424
Markelle Fultz,22,8,8,26.9,5.1,13,0.394,0.5,2,0.25,4.6,11,0.42
Wendell Carter Jr.,21,22,19,26.5,4.6,9.3,0.493,0.3,1.3,0.241,4.3,8,0.534
Moritz Wagner,23,11,10,26,3.5,8.5,0.409,1.5,3.9,0.372,2,4.5,0.44
Michael Carter-Williams,29,31,25,25.8,3.4,8.7,0.389,0.5,2,0.246,2.9,6.7,0.431
Dwayne Bacon,25,72,50,25.7,4.1,10.1,0.402,0.8,2.9,0.285,3.2,7.2,0.449
Chuma Okeke,22,45,19,25.2,3,7.2,0.417,1.1,3.1,0.348,1.9,4.1,0.47
R.J. Hampton,19,26,1,25.2,4.3,9.7,0.439,0.8,2.7,0.319,3.4,7.1,0.484
Gary Harris,26,20,19,25,3.5,9.5,0.365,1.2,3.3,0.364,2.3,6.2,0.366
James Ennis,30,41,37,24,2.8,5.9,0.473,1.1,2.5,0.433,1.7,3.4,0.504
Otto Porter,27,3,0,22,3,8.3,0.36,0.3,3,0.111,2.7,5.3,0.5
Al-Farouq Aminu,30,17,14,21.6,2.1,5.2,0.404,0.4,1.8,0.226,1.7,3.4,0.5
Sindarius Thornwell,26,7,0,20.6,1.1,3.6,0.32,0.6,2,0.286,0.6,1.6,0.364
Chasson Randle,27,41,5,20.4,2.2,5.8,0.388,1.1,3.2,0.338,1.2,2.6,0.449
Khem Birch,28,48,5,19.8,2,4.4,0.45,0.1,0.4,0.19,1.9,3.9,0.479
Frank Mason III,26,4,1,19.8,2.3,6,0.375,0.5,1.3,0.4,1.8,4.8,0.368
Gary Clark,26,35,11,18.2,1.1,3.7,0.305,0.9,3.1,0.287,0.3,0.7,0.391
Mo Bamba,22,46,5,15.8,3.1,6.5,0.472,0.8,2.6,0.322,2.3,4,0.568
Robert Franks,24,7,0,14.4,1.9,4,0.464,0.7,2.1,0.333,1.1,1.9,0.615
Jordan Bone,23,14,0,14,1.6,3.9,0.426,0.7,2.3,0.313,0.9,1.6,0.591
Donta Hall,23,13,0,13.8,1.9,2.7,0.714,0,0,0,1.9,2.7,0.714
Devin Cannady,24,8,0,9.3,1.4,3.5,0.393,0.8,2,0.375,0.6,1.5,0.417
Karim Mané,20,10,0,8.8,0.3,1.3,0.231,0.1,0.2,0.5,0.2,1.1,0.182
